time,i_mod_avg,i_mod_rms,u_bat
475.0,19.66647,19.66647,3.7406531564122636
476.0,19.66647,19.66647,3.7405754657742616
477.0,19.66647,19.66647,3.7405004265775426
478.0,19.66647,19.66647,3.7404278148238292
479.0,19.66647,19.66647,3.740357374826058
480.0,19.66647,19.66647,3.740288819208385
481.0,19.66647,19.66647,3.7402218289061757
482.0,19.66647,19.66647,3.7401560531660185
483.0,19.66647,19.66647,3.740091109545712
484.0,19.66647,19.66647,3.7400265839142754
485.0,19.66647,19.66647,3.7399620304519394
486.0,19.66647,19.66647,3.7398969716501527
487.0,19.66647,19.66647,3.739830898311579
488.0,19.66647,19.66647,3.7397632695501013
489.0,19.66647,19.66647,3.739693512790811
490.0,19.66647,19.66647,3.7396210237700234
491.0,19.66647,19.66647,3.7395451665352626
492.0,19.66647,19.66647,3.7394652734452745
493.0,19.66647,19.66647,3.7393806451700167
494.0,19.66647,19.66647,3.739290550690663
495.0,19.66647,19.66647,3.7391942272996075
496.0,19.66647,19.66647,3.739090880600452
497.0,19.66647,19.66647,3.738979684508023
498.0,19.66647,19.66647,3.7388625734735688
499.0,19.66647,19.66647,3.7387434406138813
500.0,19.66647,19.66647,3.738622769308058
501.0,19.66647,19.66647,3.7385009915839826
502.0,19.66647,19.66647,3.7383785147038564
503.0,19.66647,19.66647,3.7382557211641965
504.0,19.66647,19.66647,3.73813296869584
505.0,19.66647,19.66647,3.738010590263943
506.0,19.66647,19.66647,3.737888894067978
507.0,19.66647,19.66647,3.737768163541736
508.0,19.66647,19.66647,3.737648657353326
509.0,19.66647,19.66647,3.7375306094051766
510.0,19.66647,19.66647,3.7374142288340346
511.0,19.66647,19.66647,3.737299700010963
512.0,19.66647,19.66647,3.7371871825413443
513.0,19.66647,19.66647,3.7370768112648793
514.0,19.66647,19.66647,3.736968696255587
515.0,19.66647,19.66647,3.7368629228218047
516.0,19.66647,19.66647,3.736759551506186
517.0,19.66647,19.66647,3.7366586180857064
518.0,19.66647,19.66647,3.736560133571656
519.0,19.66647,19.66647,3.7364640842096457
520.0,19.66647,19.66647,3.736370431479603
521.0,19.66647,19.66647,3.7362791120957732
522.0,19.66647,19.66647,3.736190038006723
523.0,19.66647,19.66647,3.736103096395334
524.0,19.66647,19.66647,3.7360181496788063
525.0,19.66647,19.66647,3.735935035508659
526.0,19.66647,19.66647,3.7358535667707296
527.0,19.66647,19.66647,3.7357735315851754
528.0,19.66647,19.66647,3.735694693306468
529.0,19.66647,19.66647,3.7356167905234003
530.0,19.66647,19.66647,3.7355395370590805
531.0,19.66647,19.66647,3.7354626219709397
532.0,19.66647,19.66647,3.735385709550721
533.0,19.66647,19.66647,3.7353084393244926
534.0,19.66647,19.66647,3.7352304260526346
535.0,19.66647,19.66647,3.7351512597298506
536.0,19.66647,19.66647,3.735070505585159
537.0,19.66647,19.66647,3.7349877040818953
538.0,19.66647,19.66647,3.734902370917719
539.0,19.66647,19.66647,3.7348139970246006
540.0,19.66647,19.66647,3.734722048568833
541.0,19.66647,19.66647,3.7346259669510293
542.0,19.66647,19.66647,3.7345251688061136
543.0,19.66647,19.66647,3.734419046003336
544.0,19.66647,19.66647,3.734308457528556
545.0,19.66647,19.66647,3.734196214931898
546.0,19.66647,19.66647,3.734082717665827
547.0,19.66647,19.66647,3.733968277549851
548.0,19.66647,19.66647,3.7338531892421063
549.0,19.66647,19.66647,3.7337377302393526
550.0,19.66647,19.66647,3.733622160876972
551.0,19.66647,19.66647,3.733506724328973
552.0,19.66647,19.66647,3.7333916466079895
553.0,19.66647,19.66647,3.733277136565277
554.0,19.66647,19.66647,3.7331633858907196
555.0,19.66647,19.66647,3.7330505691128226
556.0,19.66647,19.66647,3.7329388435987165
557.0,19.66647,19.66647,3.7328283495541568
558.0,19.66647,19.66647,3.7327192100235247
559.0,19.66647,19.66647,3.7326115308898227
560.0,19.66647,19.66647,3.7325054008746803
561.0,19.66647,19.66647,3.7324008915383526
562.0,19.66647,19.66647,3.7322980572797166
563.0,19.66647,19.66647,3.7321969353362743
564.0,19.66647,19.66647,3.732097545784153
565.0,19.66647,19.66647,3.731999891538104
566.0,19.66647,19.66647,3.731903958351504
567.0,19.66647,19.66647,3.7318097148163525
568.0,19.66647,19.66647,3.7317171123632757
569.0,19.66647,19.66647,3.7316260852615253
570.0,19.66647,19.66647,3.7315365506189706
571.0,19.66647,19.66647,3.731448408382115
572.0,19.66647,19.66647,3.7313615413360783
573.0,19.66647,19.66647,3.731275815104611
574.0,19.66647,19.66647,3.731191078150082
575.0,19.66647,19.66647,3.7311071617734917
576.0,19.66647,19.66647,3.7310238801144595
577.0,19.66647,19.66647,3.7309410301512322
578.0,19.66647,19.66647,3.7308583917006786
579.0,19.66647,19.66647,3.7307757274182953
580.0,19.66647,19.66647,3.730692782798201
581.0,19.66647,19.66647,3.730609286173139
582.0,19.66647,19.66647,3.730524948714477
583.0,19.66647,19.66647,3.7304394644322114
584.0,19.66647,19.66647,3.730352510174957
585.0,19.66647,19.66647,3.7302637456299568
586.0,19.66647,19.66647,3.730172813323074
587.0,19.66647,19.66647,3.7300793386188054
588.0,19.66647,19.66647,3.729982929720263
589.0,19.66647,19.66647,3.7298831776691865
590.0,19.66647,19.66647,3.729779656345944
591.0,19.66647,19.66647,3.7296721887414424
592.0,19.66647,19.66647,3.7295623413817456
593.0,19.66647,19.66647,3.7294507344230987
594.0,19.66647,19.66647,3.729337698790229
595.0,19.66647,19.66647,3.729223549266773
596.0,19.66647,19.66647,3.7291085844952745
597.0,19.66647,19.66647,3.728993086977185
598.0,19.66647,19.66647,3.7288773230728633
599.0,19.66647,19.66647,3.728761543001583
600.0,19.66647,19.66647,3.728645980841512
601.0,19.66647,19.66647,3.728530854529741
602.0,19.66647,19.66647,3.728416365862256
603.0,19.66647,19.66647,3.7283027004939604
604.0,19.66647,19.66647,3.7281900279386604
605.0,19.66647,19.66647,3.7280785015690707
606.0,19.66647,19.66647,3.7279682586168157
607.0,19.66647,19.66647,3.727859420172425
608.0,19.66647,19.66647,3.727752091185339
609.0,19.66647,19.66647,3.7276463604639045
610.0,19.66647,19.66647,3.7275423006753736
611.0,19.66647,19.66647,3.7274399683459154
612.0,19.66647,19.66647,3.7273394038605963
613.0,19.66647,19.66647,3.7272406314633937
